id;title;min_players;max_players;publication_year;min_age;playing_time;cover;cover_content_type
1;why nor;11445;19170;2886;5626;1600;../fake-data/blob/hipster.png;image/png
2;above to;7499;20598;9697;11599;19460;../fake-data/blob/hipster.png;image/png
3;gee unless;25137;10007;21451;30506;15140;../fake-data/blob/hipster.png;image/png
4;whack;10713;15033;3623;1307;27837;../fake-data/blob/hipster.png;image/png
5;panic;2431;15537;16437;23867;10889;../fake-data/blob/hipster.png;image/png
6;desecrate huzzah failing;8049;2064;16967;20192;10294;../fake-data/blob/hipster.png;image/png
7;than regarding;9934;23588;8245;11327;30620;../fake-data/blob/hipster.png;image/png
8;destiny;1894;24172;10474;4687;18908;../fake-data/blob/hipster.png;image/png
9;terrific incidentally;16564;12924;23306;14498;16114;../fake-data/blob/hipster.png;image/png
10;grow perfectly fooey;24245;28879;14971;24581;13506;../fake-data/blob/hipster.png;image/png
